,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,91,PF,1586662996,77,-23.12,-134.97,78.55,7.2
1,lagoa,0,PT,1586662716,78,39.05,-27.98,60.85,10.2
2,carnarvon,7,AU,1586662732,69,-24.87,113.63,82.4,20.8
3,talnakh,40,RU,1586662997,79,69.49,88.4,23.0,35.79
4,tasiilaq,99,GL,1586662997,58,65.61,-37.64,26.6,17.22
5,ostrovnoy,0,RU,1586662997,93,68.05,39.51,14.67,10.6
6,salalah,75,OM,1586662923,74,17.02,54.09,82.4,11.41
7,thompson,90,CA,1586662998,78,55.74,-97.86,15.8,12.75
8,kifri,4,IQ,1586662998,55,34.7,44.97,58.37,5.93
9,new norfolk,66,LR,1586662717,88,6.65,-10.59,76.73,1.05
10,carutapera,98,BR,1586662999,86,-1.2,-46.02,79.79,5.88
11,eisenach,6,DE,1586662999,69,50.98,10.32,48.0,8.05
12,barrow,90,US,1586663000,92,71.29,-156.79,26.6,18.34
13,lorengau,51,PG,1586663000,71,-2.02,147.27,84.81,2.98
14,bredasdorp,100,ZA,1586663000,64,-34.53,20.04,68.0,14.99
15,hermanus,100,ZA,1586662754,95,-34.42,19.23,63.0,7.0
16,ushuaia,40,AR,1586662901,86,-54.8,-68.3,39.2,6.93
17,busselton,75,AU,1586663001,37,-33.65,115.33,81.0,9.98
18,vardo,48,NO,1586663002,94,70.37,31.11,26.17,10.33
19,mataura,18,NZ,1586663002,48,-46.19,168.86,72.0,15.01
20,rawson,0,AR,1586663002,40,-43.3,-65.1,54.82,5.53
21,hobart,75,AU,1586662804,55,-42.88,147.33,61.0,12.75
22,kruisfontein,100,ZA,1586663003,54,-34.0,24.73,60.84,8.32
23,perth,75,AU,1586662883,78,-31.93,115.83,79.0,8.05
24,berdigestyakh,100,RU,1586663004,83,62.1,126.7,34.05,11.54
25,mahebourg,40,MU,1586662770,83,-20.41,57.7,80.01,14.99
26,beloha,100,MG,1586663004,73,-25.17,45.05,71.31,6.82
27,port alfred,100,CD,1586662733,62,-7.03,29.76,72.21,7.34
28,pangai,75,TO,1586663005,69,-19.8,-174.35,80.6,9.17
29,yellowknife,20,CA,1586663005,51,62.46,-114.35,14.0,9.17
30,geraldton,75,AU,1586663005,65,-28.77,114.6,82.99,10.29
31,ponta do sol,0,PT,1586663006,76,38.73,-28.27,57.42,7.67
32,fortuna,90,US,1586663006,87,40.6,-124.16,54.0,8.05
33,upernavik,100,GL,1586662769,86,72.79,-56.15,20.37,2.3
34,tutoia,100,BR,1586662757,87,-2.76,-42.27,79.84,6.44
35,norman wells,90,US,1586663007,93,35.22,-97.44,60.8,24.16
36,constitucion,75,CL,1586663007,81,-35.33,-72.42,52.57,10.02
37,atuona,44,PF,1586663008,65,-9.8,-139.03,82.96,5.41
38,jacqueville,95,CI,1586663008,88,5.21,-4.41,77.0,8.05
39,chokurdakh,100,RU,1586662762,97,70.63,147.92,29.89,12.95
40,singkawang,83,ID,1586663009,61,0.9,109.0,87.26,4.14
41,van wert,75,TR,1586663009,93,38.49,43.38,37.4,12.75
42,albany,1,US,1586662780,58,42.6,-73.97,37.4,6.93
43,bengkulu,45,ID,1586663009,62,-3.8,102.27,88.03,3.83
44,pisco,40,PE,1586663010,78,-13.7,-76.22,73.4,2.24
45,sangar,100,RU,1586663010,91,63.92,127.47,33.37,10.92
46,beringovskiy,98,RU,1586662793,94,63.05,179.32,14.68,10.31
47,kodiak,90,US,1586663011,86,57.79,-152.41,37.4,20.8
48,lebu,0,CL,1586663011,74,-37.62,-73.65,51.85,13.51
49,chimbote,35,PE,1586663011,76,-9.09,-78.58,73.51,5.37
50,dikson,100,RU,1586663011,96,73.51,80.55,14.99,9.95
51,kapaa,90,US,1586662837,73,22.08,-159.32,78.8,10.29
52,kuytun,21,RU,1586663012,55,54.34,101.5,39.76,5.57
53,ondangwa,58,NA,1586663012,94,-17.92,15.95,68.0,2.24
54,byron bay,90,US,1586662868,71,44.03,-92.65,52.0,4.7
55,arraial do cabo,11,BR,1586663013,77,-22.84,-46.65,62.6,16.11
56,tuktoyaktuk,20,CA,1586663013,77,69.45,-133.04,6.8,10.29
57,bluff,20,NZ,1586662766,51,-46.6,168.33,72.0,11.99
58,punta arenas,36,PH,1586662802,52,8.99,125.34,85.66,3.24
59,arti,97,RU,1586663014,80,56.42,58.53,38.66,8.19
60,aki,75,JP,1586663014,87,33.5,133.9,51.8,8.05
61,avarua,100,CK,1586663014,88,-21.21,-159.78,82.4,4.7
62,grindavik,51,IS,1586662754,80,63.84,-22.43,35.6,1.12
63,altay,17,CN,1586663015,34,47.87,88.12,49.89,1.92
64,cape town,75,CL,1586663015,54,-36.41,-71.9,55.4,8.05
65,castro,32,BR,1586663015,73,-24.79,-50.01,55.18,5.53
66,alofi,99,NU,1586663016,69,-19.06,-169.92,82.4,12.75
67,provideniya,100,RU,1586662750,93,64.38,-173.3,32.54,6.29
68,galt,1,US,1586663016,82,38.25,-121.3,63.0,8.05
69,puerto ayora,20,ES,1586663016,58,36.59,-6.23,57.2,5.82
70,jamestown,1,US,1586663017,55,42.1,-79.24,39.0,5.82
71,fukue,75,JP,1586662795,76,32.69,128.84,55.4,14.99
72,elizabeth city,1,US,1586663017,31,40.66,-74.21,51.01,3.36
73,chardara,100,KZ,1586663017,79,41.25,67.97,58.62,16.73
74,khetia,0,IN,1586663018,13,21.67,74.58,93.38,6.64
75,biloela,0,AU,1586663018,23,-24.42,150.5,84.42,7.81
76,mar del plata,90,ES,1586663018,100,43.4,-4.01,57.2,2.33
77,upata,100,VE,1586663018,74,8.01,-62.4,72.75,8.55
78,portland,20,US,1586662841,47,45.52,-122.68,55.4,9.17
79,hilo,90,US,1586662944,61,19.73,-155.09,80.6,4.7
80,ribeira grande,90,ES,1586663019,100,42.75,-8.44,55.0,1.12
81,tuatapere,32,NZ,1586662750,51,-46.13,167.68,72.0,11.99
82,east london,90,IS,1586663019,86,65.0,-15.0,28.4,19.46
83,abengourou,99,CI,1586663020,91,6.73,-3.5,74.16,2.51
84,sao miguel do araguaia,0,IN,1586663020,14,20.51,76.21,90.25,6.24
85,cabedelo,20,BR,1586663020,94,-6.98,-34.83,77.0,3.36
86,najran,0,SA,1586663020,31,17.49,44.13,77.0,6.93
87,kudat,75,MY,1586663021,74,6.88,116.85,87.8,4.7
88,yumen,75,CN,1586663021,16,40.28,97.2,54.59,3.85
89,rincon,1,US,1586662764,63,32.3,-81.24,68.0,5.82
90,orocue,3,CO,1586663021,71,4.79,-71.34,81.19,4.14
91,itarema,100,BR,1586663022,88,-2.92,-39.92,77.94,2.93
92,nitra,0,SK,1586663022,61,48.31,18.08,41.0,5.82
93,saldanha,100,ZA,1586663022,100,-33.01,17.94,59.0,13.87
94,boden,100,SE,1586663023,93,65.83,21.69,32.0,14.99
95,sinnamary,100,GF,1586663023,79,5.38,-52.95,78.96,13.06
96,jinka,89,ET,1586663023,58,5.65,36.65,65.91,3.6
97,iqaluit,90,CA,1586663024,79,63.75,-68.51,23.0,14.99
98,komsomolskiy,66,UZ,1586663024,62,40.43,71.72,57.2,4.7
99,tessalit,0,ML,1586663024,14,20.2,1.01,77.38,4.32
100,dongsheng,0,CN,1586663024,22,39.82,109.98,46.83,5.39
101,benguela,5,AO,1586663025,82,-12.58,13.41,77.29,3.06
102,macomer,0,IT,1586663025,81,40.26,8.77,42.8,1.12
103,hervey bay,90,US,1586663026,100,33.5,-93.78,57.2,5.82
104,rayagada,0,IN,1586662979,30,19.17,83.42,94.21,0.63
105,calama,0,CL,1586663026,40,-22.47,-68.93,51.8,6.93
106,palmer,1,US,1586662999,41,42.16,-72.33,39.2,6.93
107,kalmunai,21,LK,1586663027,70,7.42,81.82,85.14,6.08
108,bar,92,UA,1586663027,70,49.08,27.68,35.13,4.7
109,nesterov,89,RU,1586663027,67,54.63,22.57,39.09,11.34
110,nikolskoye,6,RU,1586663028,92,59.7,30.79,23.0,2.24
111,bunbury,73,AU,1586663028,37,-33.33,115.63,81.0,10.07
112,osorno,0,CL,1586662954,81,-40.57,-73.15,44.6,3.36
113,vaini,40,TO,1586663028,69,-21.2,-175.2,78.8,4.7
114,vallam,40,IN,1586663029,74,10.72,79.08,84.2,4.7
115,roald,100,NO,1586663029,93,62.58,6.13,46.4,29.97
116,kupang,75,ID,1586663029,70,-10.17,123.58,86.0,4.7
117,dhidhdhoo,28,MV,1586663029,65,6.88,73.1,86.09,8.57
118,clyde river,90,US,1586663030,53,41.3,-82.98,52.0,10.29
119,razole,5,IN,1586663030,55,16.48,81.83,89.73,1.97
120,ravenna,0,IT,1586663030,66,44.42,11.98,57.99,2.24
121,chuy,0,UY,1586663030,79,-33.7,-53.46,60.82,6.06
122,bulancak,98,TR,1586663031,71,40.94,38.23,47.68,9.28
123,wewak,98,PG,1586663031,76,-3.55,143.63,83.68,6.06
124,butaritari,98,KI,1586663031,75,3.07,172.79,83.01,10.04
125,leningradskiy,85,RU,1586662794,91,69.38,178.42,18.28,4.36
126,tura,1,IN,1586662741,24,25.52,90.22,88.61,3.8
127,praia,23,CV,1586662803,78,14.92,-23.51,73.4,8.05
128,hobyo,22,SO,1586662770,72,5.35,48.53,82.49,8.08
129,asfi,89,MA,1586663032,76,32.3,-9.24,62.56,11.01
130,mbandaka,100,CD,1586662786,89,0.05,18.26,71.22,4.21
131,ahuimanu,75,US,1586663033,65,21.44,-157.84,82.4,14.99
132,baykit,72,RU,1586663033,82,61.67,96.37,34.92,5.46
133,saskylakh,0,RU,1586663033,91,71.92,114.08,4.95,7.52
134,ambatofinandrahana,97,MG,1586663034,62,-20.55,46.8,55.45,4.56
135,yulara,60,AU,1586663034,11,-25.24,130.99,89.6,6.93
136,cherskiy,80,RU,1586662766,96,68.75,161.3,23.36,15.97
137,catu,40,BR,1586663035,83,-12.35,-38.38,82.4,6.93
138,caravelas,3,BR,1586662774,86,-17.71,-39.25,78.01,5.01
139,isla mujeres,59,PH,1586663035,43,15.89,120.3,92.86,7.47
140,tignere,92,CM,1586663035,51,7.37,12.65,64.0,0.6
141,coihaique,40,CL,1586663036,70,-45.58,-72.07,44.6,2.24
142,curup,74,ID,1586663036,59,-3.47,102.53,81.36,2.86
143,lieksa,35,FI,1586663036,92,63.32,30.02,24.91,4.94
144,lompoc,90,US,1586663037,81,34.64,-120.46,60.01,9.17
145,zhaozhou,0,CN,1586663037,28,45.68,125.32,60.12,5.03
146,maceio,70,BR,1586662799,81,-9.67,-35.74,79.41,7.67
147,rocha,0,UY,1586663037,86,-34.48,-54.33,55.47,4.43
148,felanitx,20,ES,1586663038,71,39.47,3.15,57.0,5.82
149,nanortalik,100,GL,1586663038,76,60.14,-45.24,36.9,38.36
150,asopos,0,GR,1586663038,47,36.73,22.87,59.43,4.63
151,waipawa,58,NZ,1586662778,77,-41.41,175.52,64.0,23.04
152,ilulissat,86,GL,1586663039,68,69.22,-51.1,28.4,6.93
153,bethel,1,US,1586662923,69,41.37,-73.41,46.0,4.7
154,pandan,22,PH,1586663039,73,14.05,124.17,81.72,1.72
155,mys shmidta,100,RU,1586663039,95,62.06,48.62,24.22,2.48
156,huron,1,US,1586663040,49,41.15,-82.55,51.01,10.29
157,kisangani,99,CD,1586663040,86,0.52,25.2,70.97,2.42
158,vila velha,90,PT,1586662786,100,42.03,-8.16,52.0,1.12
159,roma,1,US,1586662924,74,43.21,-75.46,34.0,3.36
160,pangkalanbuun,56,ID,1586663041,57,-2.68,111.62,90.63,2.13
161,victoria,7,HK,1586663041,43,22.29,114.16,72.0,16.11
162,mahajanga,20,MG,1586663042,83,-15.72,46.32,73.4,4.7
163,esmeraldas,75,BR,1586662930,94,-19.76,-44.31,69.8,5.82
164,cidreira,23,BR,1586663042,71,-30.18,-50.21,64.42,3.24
165,souillac,40,MU,1586663042,83,-20.52,57.52,80.01,14.99
166,nemuro,40,JP,1586662955,52,43.32,145.57,41.0,3.36
167,santa fe,5,PH,1586663043,51,17.49,120.43,89.96,12.68
168,naze,75,JP,1586663043,82,28.37,129.48,66.2,17.22
169,bubaque,1,GW,1586663043,77,11.28,-15.83,77.97,10.51
170,durban,0,ZA,1586663044,88,-29.86,31.03,66.99,1.12
171,bambous virieux,40,MU,1586663044,83,-20.26,57.41,80.01,14.99
172,turayf,0,SA,1586663044,100,31.67,38.66,46.4,4.7
173,stornoway,94,GB,1586663044,86,58.21,-6.39,41.0,5.82
174,tete,40,MZ,1586663045,93,-16.16,33.59,66.2,2.42
175,qaanaaq,100,GL,1586663045,72,77.48,-69.36,12.18,5.19
176,campbell river,40,US,1586663045,40,38.95,-84.38,53.6,4.7
177,diamantina,17,BR,1586663046,73,-18.25,-43.6,61.14,0.56
178,awbari,0,LY,1586662748,25,26.59,12.78,66.18,11.23
179,kichera,100,RU,1586662773,63,55.94,110.1,37.49,7.14
180,hithadhoo,15,MV,1586662755,67,-0.6,73.08,84.51,7.9
181,quimper,0,FR,1586663046,87,48.0,-4.1,50.0,2.24
182,tomatlan,72,MX,1586663047,62,19.93,-105.25,72.84,9.57
183,arica,90,CL,1586663047,68,-18.48,-70.3,71.6,5.82
184,waterloo,75,CA,1586662926,64,43.47,-80.52,39.0,5.82
185,kedrovyy,0,RU,1586662808,52,56.17,91.82,41.0,8.95
186,axim,75,GH,1586663048,84,4.87,-2.24,80.35,2.42
187,weligama,24,LK,1586663048,73,5.97,80.42,83.48,3.2
188,hualmay,6,PE,1586663048,77,-11.1,-77.61,72.63,7.45
189,husavik,90,IS,1586663048,74,66.04,-17.34,30.2,19.46
190,ancud,0,CL,1586663049,100,-41.87,-73.82,37.4,4.7
191,taksimo,100,RU,1586663049,53,56.34,114.88,41.34,8.66
192,panjakent,90,TJ,1586663049,77,39.5,67.61,60.8,9.17
193,san cristobal,63,ML,1586662936,32,13.3,-4.9,88.14,11.21
194,mianyang,0,CN,1586662813,26,31.46,104.75,68.56,6.64
