,City,Country,Lat,Lng,Hotel Name
0,rikitea,PF,-23.12,-134.97,Pension Maro'i
1,lagoa,PT,39.05,-27.98,Hotel Ilha Graciosa
2,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
3,talnakh,RU,69.49,88.4,Talnakh Hotel
4,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
5,ostrovnoy,RU,68.05,39.51,
6,salalah,OM,17.02,54.09,Salalah Gardens Hotel
7,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
8,kifri,IQ,34.7,44.97,
9,new norfolk,LR,6.65,-10.59,
10,carutapera,BR,-1.2,-46.02,HOTEL R. SOARES
11,eisenach,DE,50.98,10.32,Romantik Hotel auf der Wartburg
12,barrow,US,71.29,-156.79,Top of the World Hotel
13,lorengau,PG,-2.02,147.27,Seeadler Bay Hotel
14,bredasdorp,ZA,-34.53,20.04,Victoria Hotel - Bredasdorp
15,hermanus,ZA,-34.42,19.23,7 on Marine
16,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
17,busselton,AU,-33.65,115.33,Esplanade Hotel
18,vardo,NO,70.37,31.11,Wilhelmsen eiendom AS
19,mataura,NZ,-46.19,168.86,Ellie's Villa
20,rawson,AR,-43.3,-65.1,Hotel Punta León
21,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
22,kruisfontein,ZA,-34.0,24.73,
23,perth,AU,-31.93,115.83,Hyatt Regency Perth
24,berdigestyakh,RU,62.1,126.7,
25,mahebourg,MU,-20.41,57.7,Preskil Island Resort
26,beloha,MG,-25.17,45.05,
27,port alfred,CD,-7.03,29.76,
28,pangai,TO,-19.8,-174.35,Ha'apai Beach Resort
29,yellowknife,CA,62.46,-114.35,The Explorer Hotel
30,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
31,ponta do sol,PT,38.73,-28.27,Casa dos Lagos - AL
32,fortuna,US,40.6,-124.16,Best Western Country Inn
33,upernavik,GL,72.79,-56.15,Café de Upernavik
34,tutoia,BR,-2.76,-42.27,Hotel Costa do Delta
35,norman wells,US,35.22,-97.44,Courtyard by Marriott Norman
36,constitucion,CL,-35.33,-72.42,Hotel Boutique Las Azucenas
37,atuona,PF,-9.8,-139.03,Simplicité Marquises
38,jacqueville,CI,5.21,-4.41,Dream hotel
39,chokurdakh,RU,70.63,147.92,
40,singkawang,ID,0.9,109.0,Swiss-Belinn Singkawang
41,van wert,TR,38.49,43.38,DoubleTree by Hilton Hotel Van
42,albany,US,42.6,-73.97,
43,bengkulu,ID,-3.8,102.27,Mercure Bengkulu
44,pisco,PE,-13.7,-76.22,Embassy Beach
45,sangar,RU,63.92,127.47,
46,beringovskiy,RU,63.05,179.32,
47,kodiak,US,57.79,-152.41,Shelikof Lodge
48,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
49,chimbote,PE,-9.09,-78.58,Hotel Maresta Lodge
50,dikson,RU,73.51,80.55,
51,kapaa,US,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
52,kuytun,RU,54.34,101.5,Zhemchug
53,ondangwa,,-17.92,15.95,Palm View Hotel
54,byron bay,US,44.03,-92.65,
55,arraial do cabo,BR,-22.84,-46.65,
56,tuktoyaktuk,CA,69.45,-133.04,Smitty's Bed and Breakfast
57,bluff,NZ,-46.6,168.33,Foveaux Hotel
58,punta arenas,PH,8.99,125.34,
59,arti,RU,56.42,58.53,
60,aki,JP,33.5,133.9,ホテルTAMAI
61,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
62,grindavik,IS,63.84,-22.43,Mar Guesthouse
63,altay,CN,47.87,88.12,Gold Bridge Hotel
64,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
65,castro,BR,-24.79,-50.01,Hotel Buganville Express
66,alofi,NU,-19.06,-169.92,Taloa Heights
67,provideniya,RU,64.38,-173.3,
68,galt,US,38.25,-121.3,Comfort Inn & Suites Galt - Lodi North
69,puerto ayora,ES,36.59,-6.23,Hotel Puertobahia & Spa
70,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
71,fukue,JP,32.69,128.84,GOTO TSUBAKI HOTEL
72,elizabeth city,US,40.66,-74.21,Hilton Newark Airport
73,chardara,KZ,41.25,67.97,"Gostinitsa ""Kyzyl Zhar"""
74,khetia,IN,21.67,74.58,
75,biloela,AU,-24.42,150.5,Biloela Hotel
76,mar del plata,ES,43.4,-4.01,Hotel Costa Esmeralda Suites
77,upata,VE,8.01,-62.4,"Babandi Suites C.A. (Hotel Boutique, Resto-Bar)"
78,portland,US,45.52,-122.68,Ace Hotel Portland
79,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
80,ribeira grande,ES,42.75,-8.44,Hotel Restaurante América
81,tuatapere,NZ,-46.13,167.68,Waiau Hotel
82,east london,IS,65.0,-15.0,Hengifoss Guesthouse
83,abengourou,CI,6.73,-3.5,Hotel Ahika
84,sao miguel do araguaia,IN,20.51,76.21,Hotel Sai Residency
85,cabedelo,BR,-6.98,-34.83,Hotel Almagre
86,najran,SA,17.49,44.13,
87,kudat,MY,6.88,116.85,The Upperdeck Hotel
88,yumen,CN,40.28,97.2,
89,rincon,US,32.3,-81.24,
90,orocue,CO,4.79,-71.34,Hotel Brisas de San Miguel
91,itarema,BR,-2.92,-39.92,Pousada Pura Vida Club Brasil
92,nitra,SK,48.31,18.08,Penzion Pri Mlyne
93,saldanha,ZA,-33.01,17.94,Fijnbosch Luxury Apartments Jacobsbaai
94,boden,SE,65.83,21.69,Pensionat Drottninggatan 11
95,sinnamary,GF,5.38,-52.95,L'oiseau de Paradis
96,jinka,ET,5.65,36.65,
97,iqaluit,CA,63.75,-68.51,Frobisher Inn
98,komsomolskiy,UZ,40.43,71.72,Hotel adras
99,tessalit,ML,20.2,1.01,
100,dongsheng,CN,39.82,109.98,Crowne Plaza Ordos
101,benguela,AO,-12.58,13.41,Aparthotel Mil Cidades
102,macomer,IT,40.26,8.77,Casa Castori
103,hervey bay,US,33.5,-93.78,
104,rayagada,IN,19.17,83.42,Hotel Tejasvi International
105,calama,CL,-22.47,-68.93,MDS Hotel Calama
106,palmer,US,42.16,-72.33,The Trainmaster's Inn
107,kalmunai,LK,7.42,81.82,LUXEZ garden house
108,bar,UA,49.08,27.68,Hostynnyy Dvir
109,nesterov,RU,54.63,22.57,
110,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
111,bunbury,AU,-33.33,115.63,Bunbury Hotel Koombana Bay
112,osorno,CL,-40.57,-73.15,Hotel Diego de Almagro Osorno
113,vaini,TO,-21.2,-175.2,Paradise First Hotel
114,vallam,IN,10.72,79.08,Hotel Grand Ashok
115,roald,NO,62.58,6.13,Vestavind Hytter og Rom AS
116,kupang,ID,-10.17,123.58,Hotel On The Rock by Prasanthi
117,dhidhdhoo,MV,6.88,73.1,
118,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
119,razole,IN,16.48,81.83,Sterling Palavelli Godavari - Resorts and Hotels
120,ravenna,IT,44.42,11.98,Hotel Tatì
121,chuy,UY,-33.7,-53.46,Bertelli Chuí Hotel
122,bulancak,TR,40.94,38.23,Başoğlu Bulancak Otel
123,wewak,PG,-3.55,143.63,In Wewak Boutique Hotel
124,butaritari,KI,3.07,172.79,Isles Sunset Lodge
125,leningradskiy,RU,69.38,178.42,
126,tura,IN,25.52,90.22,Hotel Polo Orchid
127,praia,CV,14.92,-23.51,Hotel VIP Praia
128,hobyo,SO,5.35,48.53,
129,asfi,MA,32.3,-9.24,Hôtel Farah Safi
130,mbandaka,CD,0.05,18.26,Hotel Wimpey
131,ahuimanu,US,21.44,-157.84,Paradise Bay Resort
132,baykit,RU,61.67,96.37,
133,saskylakh,RU,71.92,114.08,
134,ambatofinandrahana,MG,-20.55,46.8,
135,yulara,AU,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
136,cherskiy,RU,68.75,161.3,
137,catu,BR,-12.35,-38.38,Pousada Renascer
138,caravelas,BR,-17.71,-39.25,Pousada Liberdade
139,isla mujeres,PH,15.89,120.3,
140,tignere,CM,7.37,12.65,Hotel Famanou
141,coihaique,CL,-45.58,-72.07,Cabañas Dussen
142,curup,ID,-3.47,102.53,Hotel Dioba Gite
143,lieksa,FI,63.32,30.02,Hotelli Puustelli
144,lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
145,zhaozhou,CN,45.68,125.32,Riyuetian Hotel
146,maceio,BR,-9.67,-35.74,Maceió Mar Hotel
147,rocha,UY,-34.48,-54.33,Casa Rodo 53
148,felanitx,ES,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
149,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
150,asopos,GR,36.73,22.87,Princess Kyniska Suites
151,waipawa,NZ,-41.41,175.52,
152,ilulissat,GL,69.22,-51.1,Hotel Arctic
153,bethel,US,41.37,-73.41,Hampton Inn Danbury
154,pandan,PH,14.05,124.17,Bonifacio Lodge
155,mys shmidta,RU,62.06,48.62,
156,huron,US,41.15,-82.55,
157,kisangani,CD,0.52,25.2,Hotel Kisangani
158,vila velha,PT,42.03,-8.16,Moinho do Poço Verde
159,roma,US,43.21,-75.46,Wingate By Wyndham Rome
160,pangkalanbuun,ID,-2.68,111.62,Grand Kecubung Hotel
161,victoria,HK,22.29,114.16,Hotel ICON
