,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hasaki,75,JP,1586664820,67,35.73,140.83,57.2,11.41
1,tuktoyaktuk,20,CA,1586664700,77,69.45,-133.04,6.8,10.29
2,avera,1,US,1586664809,71,33.19,-82.53,60.8,5.82
3,port hedland,100,CD,1586664934,62,-7.03,29.76,72.21,7.34
4,esperance,100,AU,1586664935,16,-33.87,121.9,95.0,20.8
5,cherskiy,80,RU,1586664935,96,68.75,161.3,23.36,15.97
6,mataura,18,NZ,1586664935,53,-46.19,168.86,70.0,8.99
7,nyagan,100,RU,1586664936,90,62.14,65.39,36.99,3.78
8,punta arenas,36,PH,1586664936,52,8.99,125.34,85.66,3.24
9,abay,99,KZ,1586664937,43,49.63,72.85,51.8,22.37
10,cairns,95,AU,1586664913,70,-16.92,145.77,90.0,5.82
11,ibb,13,YE,1586664937,56,13.97,44.18,62.15,1.57
12,batsfjord,99,NO,1586664938,92,70.63,29.72,22.12,6.67
13,havoysund,100,NO,1586664938,63,71.0,24.66,30.2,2.24
14,vavatenina,63,MG,1586664938,85,-17.47,49.2,71.74,5.53
15,aquiraz,40,BR,1586664939,88,-3.9,-38.39,82.99,2.24
16,kankon,1,IN,1586664939,71,15.02,74.02,83.39,3.76
17,sao filipe,0,IN,1586664940,14,20.51,76.21,90.25,6.24
18,hofn,5,IS,1586664827,89,64.25,-15.21,30.72,20.24
19,sisimiut,100,GL,1586664940,81,66.94,-53.67,34.25,7.94
20,wawa,5,NG,1586664941,45,9.9,4.42,81.59,5.99
21,aykhal,20,RU,1586664941,54,66.0,111.5,30.2,8.95
22,bluff,20,NZ,1586664941,53,-46.6,168.33,70.0,8.99
23,airai,97,TL,1586664699,69,-8.93,125.41,66.65,0.94
24,chuy,0,UY,1586664702,79,-33.7,-53.46,60.82,6.06
25,solnechnyy,0,RU,1586664942,44,50.72,136.63,48.27,7.87
26,ambon,52,ID,1586664702,72,-3.7,128.18,84.0,5.14
27,asau,14,RO,1586664943,69,46.43,26.4,37.0,2.24
28,san policarpo,63,ML,1586664943,32,13.3,-4.9,88.14,11.21
29,upernavik,100,GL,1586664943,86,72.79,-56.15,20.37,2.3
30,iqaluit,90,CA,1586664943,79,63.75,-68.51,23.0,14.99
31,deputatskiy,73,RU,1586664944,91,69.3,139.9,24.53,16.11
32,saint-philippe,22,RE,1586664944,65,-21.36,55.77,79.0,4.7
33,houma,75,US,1586664793,88,29.6,-90.72,73.4,8.05
34,santa isabel,5,PH,1586664945,51,17.49,120.43,89.96,12.68
35,fortuna,90,US,1586664776,87,40.6,-124.16,53.01,9.17
36,rikitea,91,PF,1586664946,77,-23.12,-134.97,78.55,7.2
37,ribeira grande,40,ES,1586664946,100,42.75,-8.44,55.0,3.36
38,bubaque,1,GW,1586664947,77,11.28,-15.83,77.97,10.51
39,thompson,90,CA,1586664815,78,55.74,-97.86,15.8,12.75
40,panevezys,69,LT,1586664948,44,55.73,24.35,41.0,14.99
41,qaanaaq,100,GL,1586664699,72,77.48,-69.36,12.18,5.19
42,ushuaia,40,AR,1586664886,86,-54.8,-68.3,39.2,6.93
43,jamestown,1,US,1586664847,55,42.1,-79.24,39.99,5.82
44,faya,65,SA,1586664949,82,18.39,42.45,60.8,4.7
45,alofi,99,NU,1586664950,69,-19.06,-169.92,82.4,11.41
46,sinnamary,100,GF,1586664950,79,5.38,-52.95,78.96,13.06
47,port alfred,100,CD,1586664934,62,-7.03,29.76,72.21,7.34
48,albany,1,US,1586664694,55,42.6,-73.97,36.0,4.7
49,busselton,75,AU,1586664708,38,-33.65,115.33,82.0,9.98
50,amahai,34,ID,1586664951,69,-3.33,128.92,84.52,0.83
51,namibe,31,AO,1586664853,66,-15.2,12.15,75.83,5.12
52,opuwo,10,NA,1586664851,60,-18.06,13.84,66.52,4.9
53,chake chake,99,CN,1586664952,41,23.86,103.05,60.08,7.4
54,east london,90,IS,1586664952,79,65.0,-15.0,28.4,17.22
55,santa isabel do rio negro,5,PH,1586664953,51,17.49,120.43,89.96,12.68
56,vaini,40,TO,1586664953,74,-21.2,-175.2,78.8,8.05
57,port hardy,100,CD,1586664934,62,-7.03,29.76,72.21,7.34
58,moose factory,90,US,1586664954,92,43.66,-110.72,33.8,21.92
59,odienne,69,CI,1586664954,68,9.51,-7.57,75.49,2.98
60,bud,90,US,1586664955,81,39.45,-86.18,52.0,10.29
61,kodiak,90,US,1586664955,86,57.79,-152.41,37.4,20.8
62,trinidad,39,BO,1586664955,66,-14.83,-64.9,70.54,0.94
63,atuona,44,PF,1586664956,65,-9.8,-139.03,82.96,5.41
64,kahului,40,US,1586664956,61,20.89,-156.47,80.6,12.75
65,yellowknife,20,CA,1586664808,51,62.46,-114.35,14.0,9.17
66,hobart,75,AU,1586664811,55,-42.88,147.33,61.0,12.75
67,sur,1,OM,1586664957,58,22.57,59.53,79.95,14.14
68,provideniya,100,RU,1586664835,93,64.38,-173.3,32.54,6.29
69,cape town,75,CL,1586664957,54,-36.41,-71.9,55.4,8.05
70,chokurdakh,100,RU,1586664863,97,70.63,147.92,29.89,12.95
71,arraial do cabo,11,BR,1586664958,77,-22.84,-46.65,62.6,16.11
72,gikongoro,100,RW,1586664958,55,-2.46,29.57,58.6,1.81
73,katsuura,75,JP,1586664958,66,35.13,140.3,59.0,10.29
74,souillac,75,MU,1586664820,69,-20.52,57.52,81.0,12.75
75,mogapi,18,BW,1586664959,82,-22.32,27.83,57.2,1.81
76,zverinogolovskoye,100,RU,1586664959,71,54.46,64.85,42.62,10.45
77,bethel,1,US,1586664831,74,41.37,-73.41,44.01,4.7
78,smithers,5,CA,1586664960,30,54.78,-127.17,41.0,4.7
79,avarua,100,CK,1586664960,83,-21.21,-159.78,84.2,2.24
80,idrinskoye,0,RU,1586664960,58,54.37,92.14,41.11,2.51
81,abu samrah,64,IN,1586664961,16,24.6,72.7,79.05,1.9
82,padang,48,ID,1586664962,61,-0.95,100.35,87.93,1.23
83,unai,57,BR,1586664962,73,-16.36,-46.91,71.64,2.01
84,cidreira,23,BR,1586664812,71,-30.18,-50.21,64.42,3.24
85,sabzevar,100,IR,1586664963,60,36.21,57.68,57.67,5.32
86,sabaudia,75,IT,1586664963,87,41.3,13.03,57.0,4.7
87,severo-kurilsk,70,RU,1586664964,95,50.68,156.12,31.15,7.27
88,lebu,0,CL,1586664964,74,-37.62,-73.65,51.85,13.51
89,hithadhoo,15,MV,1586664812,67,-0.6,73.08,84.51,7.9
90,vestmanna,97,FO,1586664965,69,62.16,-7.17,35.6,24.16
91,lusambo,97,CD,1586664966,84,-4.97,23.45,71.08,0.83
92,harper,13,LR,1586664966,84,4.38,-7.72,78.6,0.63
93,talas,20,TR,1586664967,43,38.69,35.55,32.0,4.7
94,mar del plata,90,ES,1586664967,100,43.4,-4.01,57.2,2.33
95,vestmannaeyjar,100,IS,1586664706,83,63.44,-20.27,41.76,14.27
96,dunedin,100,NZ,1586664772,68,-45.87,170.5,62.01,3.0
97,dingle,23,PH,1586664968,56,11.0,122.67,87.64,6.91
98,fraga,55,ES,1586664968,70,41.52,0.35,50.0,10.29
99,grand river south east,90,US,1586664969,23,38.88,-109.5,62.6,8.05
100,high level,90,US,1586664969,93,33.61,-95.75,64.4,12.75
101,margate,17,GB,1586664897,93,51.38,1.39,57.99,6.93
102,dabat,96,ET,1586664970,38,12.98,37.77,57.49,0.76
